(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1938, 0.6142]. Recommendation = [0.0, 0.8199, 1.1128], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.3093, 1.0697]. Recommendation = [0.0, 0.8199, 1.1128], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.2960, 0.1138]. Recommendation = [0.0, 0.8199, 1.1128], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.2318, -0.1565]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5804, 0.2679]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1907, 0.2990]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5942, 0.6412]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4393, 0.3893]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.3660, -0.0731]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1981, 0.0353]. Recommendation = [0.0, -0.2960, 0.1138], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4198, 0.1172]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5703, 0.9823]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.3346, -0.2531]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.2493, 0.1996]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4300, 0.2719]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1548, -0.1460]. Recommendation = [0.0, -0.1981, 0.0353], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.0204, 0.3475]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1172, 0.2198]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1663, 0.0981]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.2096, -0.0186]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4274, 0.6201]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.6711, 0.4358]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1872, -0.3447]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.9128, 0.6921]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.0199, -0.1117]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5296, -0.0597]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1370, 0.3787]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.1037, 0.5382]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4811, 0.2000]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.7132, 1.1282]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.0880, 0.1922]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1514, 0.8809]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.7216, 0.6503]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.8913, 0.3026]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5188, 0.5529]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.5722, 0.1550]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.8666, 0.9948]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.3075, -0.2036]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.1773, 0.4955]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.7987, 0.8753]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -1.0863, 0.9574]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.3907, -0.1827]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.0423, 0.4894]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.6301, 0.7471]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.3786, 0.7439]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4778, 0.2461]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4572, 0.1671]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.1586, 0.3224]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.5409, 0.9627]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.6644, 0.2567]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, -0.4071, 0.7496]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.8199, 1.1128] = 436.8580, sampling [1.0, 0.1072, -0.0910]. Recommendation = [0.0, -0.2096, -0.0186], Current Cost = 5056.00, Rho = 1.000
