(iter 5) [0.0, 0.7763, -0.0957] = 407.4731, sampling [0.0, -0.1463, 0.4299]. Recommendation = [0.0, 0.7763, -0.0957], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.1463, 0.4299] = 438.2957, sampling [0.0, -0.6654, 0.1485]. Recommendation = [0.0, -0.1463, 0.4299], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.6654, 0.1485] = 444.8667, sampling [0.0, -0.0400, -0.1163]. Recommendation = [0.0, -0.6654, 0.1485], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.0400, -0.1163] = 453.8288, sampling [0.0, 0.3025, 0.2375]. Recommendation = [0.0, -0.0868, 0.0305], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.0400, -0.1163] = 453.8288, sampling [0.0, -0.5108, 0.8892]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, -0.0400, -0.1163] = 453.8288, sampling [0.0, 0.3211, 0.7646]. Recommendation = [0.0, -0.0868, 0.0305], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, -0.0400, -0.1163] = 453.8288, sampling [0.0, -1.3218, -0.1974]. Recommendation = [0.0, -0.0868, 0.0305], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, -0.0400, -0.1163] = 453.8288, sampling [0.0, -0.2667, 0.0475]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, -0.5352, 0.4885]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, -1.0674, 1.4248]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, -0.5285, 1.4365]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, -0.9641, 1.0242]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 16000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, -1.6230, 1.1258]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 17000.00, Rho = -1.230
(iter 12) [0.0, -0.2667, 0.0475] = 454.6400, sampling [0.0, 0.6561, 0.4091]. Recommendation = [0.0, -0.1013, 0.0694], Current Cost = 18000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.3927, -0.1331]. Recommendation = [0.0, 0.5221, 0.3303], Current Cost = 19000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.0035, 0.1587]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 20000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.0263, 0.8762]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 21000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.1066, 1.9728]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 22000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.8579, 0.6054]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 23000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.5316, 0.2000]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 24000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.4395, -0.2021]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 25000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.9391, 0.9706]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 26000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.6869, 0.7775]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 27000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.3752, 1.6002]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 28000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.0080, 1.3621]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 29000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.4317, 1.0905]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 30000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.9089, 1.9764]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 31000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.7736, 1.9995]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 32000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.9844, 0.5441]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 33000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.9147, 1.9606]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 34000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.2728, 0.4828]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 35000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.0483, -0.4548]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 36000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.3497, 1.9318]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 37000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.4411, 0.2588]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 38000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.8086, 1.1689]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 39000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.9041, 1.4724]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 40000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.1349, 1.6418]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 41000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.7983, 0.8291]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 42000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.1812, -0.1232]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 43000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.1581, 1.1965]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 44000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.3074, 0.6435]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 45000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.2089, 0.8752]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 46000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.7341, 0.4065]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 47000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.4416, 1.0920]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 48000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.9056, 0.7634]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 49000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.2984, 1.6596]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 50000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.9136, 1.6794]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 51000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.5139, 0.5251]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 52000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.1383, 1.2064]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 53000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.2702, 0.0630]. Recommendation = [0.0, 0.2702, 0.0630], Current Cost = 54000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.2450, -0.1761]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 55000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.8288, 1.1100]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 56000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.1687, 0.9046]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 57000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.8329, -1.3919]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 58000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.5498, 0.0418]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 59000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.3473, -0.4327]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 60000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.3144, 1.7898]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 61000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.6844, -0.1243]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 62000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.2213, -0.4001]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 63000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.8002, 1.4416]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 64000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.6508, 0.6097]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 65000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.0346, -0.2847]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 66000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 0.8347, 0.5424]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 67000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.0237, 0.5758]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 68000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -0.9816, 0.2841]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 69000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, -1.3417, 1.3696]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 70000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.0012, 0.3352]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 71000.00, Rho = -1.230
(iter 18) [0.0, 0.6561, 0.4091] = 456.1358, sampling [0.0, 1.4796, 1.9887]. Recommendation = [0.0, 0.3594, 0.0739], Current Cost = 72000.00, Rho = -1.230
