(iter 5) [0.0, 0.2307, -0.7899] = 384.6238, sampling [0.0, -0.2675, -0.7137]. Recommendation = [0.0, 0.2307, -0.7899], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.2675, -0.7137] = 393.0328, sampling [0.0, -0.0458, -0.4780]. Recommendation = [0.0, -0.2675, -0.7137], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.0458, -0.4780] = 432.1610, sampling [0.0, -0.3482, -0.2679]. Recommendation = [0.0, -0.0458, -0.4780], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, -0.3482, -0.2679] = 439.3420, sampling [0.0, -0.2684, -0.4029]. Recommendation = [0.0, -0.3482, -0.2679], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, -0.3482, -0.2679] = 439.3420, sampling [0.0, -0.0295, -0.1801]. Recommendation = [0.0, -0.3482, -0.2679], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.0295, -0.1801] = 451.9632, sampling [0.0, 0.2611, -0.3405]. Recommendation = [0.0, -0.0295, -0.1801], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, -0.0295, -0.1801] = 451.9632, sampling [0.0, 0.0316, -0.3009]. Recommendation = [0.0, -0.0295, -0.1801], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, -0.0295, -0.1801] = 451.9632, sampling [0.0, -0.1373, -0.0018]. Recommendation = [0.0, -0.0295, -0.1801], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, -0.1373, -0.0018] = 454.9638, sampling [0.0, -0.4579, -0.0508]. Recommendation = [0.0, -0.1416, -0.1259], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, -0.1373, -0.0018] = 454.9638, sampling [0.0, -0.1416, -0.1259]. Recommendation = [0.0, -0.1416, -0.1259], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, -0.1373, -0.0018] = 454.9638, sampling [0.0, 0.0847, -0.0408]. Recommendation = [0.0, -0.1373, -0.0018], Current Cost = 15000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.6479, -0.3868]. Recommendation = [0.0, -0.0505, -0.1120], Current Cost = 16000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.2360, 0.1560]. Recommendation = [0.0, -0.0505, -0.1120], Current Cost = 17000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.0075, 0.1113]. Recommendation = [0.0, 0.0847, -0.0408], Current Cost = 18000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.1965, -0.1699]. Recommendation = [0.0, -0.0505, -0.1120], Current Cost = 19000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.4858, 0.1593]. Recommendation = [0.0, -0.0505, -0.1120], Current Cost = 20000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.3600, 0.1308]. Recommendation = [0.0, 0.0706, -0.1600], Current Cost = 21000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.6370, 0.0378]. Recommendation = [0.0, 0.0706, -0.1600], Current Cost = 22000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, -0.1305, 0.3160]. Recommendation = [0.0, 0.0706, -0.1600], Current Cost = 23000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.2124, 0.1494]. Recommendation = [0.0, 0.0706, -0.1600], Current Cost = 24000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.4114, -0.0880]. Recommendation = [0.0, 0.0847, -0.0408], Current Cost = 25000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.1000, 0.3348]. Recommendation = [0.0, 0.2099, 0.0527], Current Cost = 26000.00, Rho = -1.230
(iter 15) [0.0, 0.0847, -0.0408] = 455.2321, sampling [0.0, 0.2099, 0.0527]. Recommendation = [0.0, 0.2099, 0.0527], Current Cost = 27000.00, Rho = -1.230
(iter 27) [0.0, 0.2099, 0.0527] = 455.6682, sampling [0.0, 0.4350, 0.1342]. Recommendation = [0.0, 0.2099, 0.0527], Current Cost = 28000.00, Rho = -1.230
(iter 28) [0.0, 0.4350, 0.1342] = 455.6775, sampling [0.0, 0.5473, -0.3586]. Recommendation = [0.0, 0.3627, 0.1253], Current Cost = 29000.00, Rho = -1.230
(iter 28) [0.0, 0.4350, 0.1342] = 455.6775, sampling [0.0, -0.3450, 0.3143]. Recommendation = [0.0, 0.3627, 0.1253], Current Cost = 30000.00, Rho = -1.230
