(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.2024, -0.0659]. Recommendation = [0.0, 0.6965, 0.3845], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.7681, -0.2827]. Recommendation = [0.0, 0.6965, 0.3845], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.1265, 0.5590]. Recommendation = [0.0, 0.6965, 0.3845], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, -0.2944, 0.0626]. Recommendation = [0.0, 0.6965, 0.3845], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.0758, -0.4685]. Recommendation = [0.0, 0.1429, 0.0015], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.6232, 0.9316]. Recommendation = [0.0, 0.1429, 0.0015], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.3275, 0.2724]. Recommendation = [0.0, 0.1429, 0.0015], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, -0.3922, 0.5927]. Recommendation = [0.0, 0.1429, 0.0015], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.8238, 1.7024]. Recommendation = [0.0, -0.0657, 0.1437], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 1.6177, -0.3841]. Recommendation = [0.0, -0.0657, 0.1437], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, -0.1891, -0.2429]. Recommendation = [0.0, -0.0657, 0.1437], Current Cost = 15000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, -0.0693, 0.1772]. Recommendation = [0.0, -0.0657, 0.1437], Current Cost = 16000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.2290, 0.9280]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 17000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 0.5752, 0.0587]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 18000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 1.5878, 1.8707]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 19000.00, Rho = -1.230
(iter 5) [0.0, 0.6965, 0.3845] = 455.1945, sampling [0.0, 1.1992, 1.3459]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 20000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.9143, 1.1388]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 21000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 1.9355, 1.5164]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 22000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 1.2276, 1.9911]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 23000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.3168, 1.9688]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 24000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.9538, 0.7608]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 25000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.4525, 0.5521]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 26000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.0106, 0.9381]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 27000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.7865, 0.4245]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 28000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.6595, 0.9149]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 29000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.2864, 1.5785]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 30000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.5633, 1.1015]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 31000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.9029, 1.4576]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 32000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.0901, 1.9948]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 33000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.7972, 1.9765]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 34000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.6305, -0.0857]. Recommendation = [0.0, -0.0887, -0.0633], Current Cost = 35000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.5070, 0.3544]. Recommendation = [0.0, 0.4674, 0.1964], Current Cost = 36000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.4009, -0.3547]. Recommendation = [0.0, 0.4674, 0.1964], Current Cost = 37000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 1.2485, 1.6983]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 38000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.1406, 0.4618]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 39000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.8311, 0.7299]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 40000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.1256, 1.2427]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 41000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.6671, 1.8576]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 42000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.3889, -0.4402]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 43000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.1988, 0.3715]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 44000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.7197, 0.6749]. Recommendation = [0.0, 0.2381, 0.0453], Current Cost = 45000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.2408, 0.8184]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 46000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.6499, 1.2848]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 47000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.1961, -0.8937]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 48000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.8748, 1.2013]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 49000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.1509, -0.6524]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 50000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.5648, 0.1592]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 51000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.0379, -0.1547]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 52000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 1.0485, 1.4482]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 53000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.4239, -0.1053]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 54000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 1.0989, 1.0885]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 55000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.8960, 0.1123]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 56000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.3246, 1.7964]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 57000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.5696, 1.5754]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 58000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.4031, -0.1979]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 59000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.8810, 0.4766]. Recommendation = [0.0, 0.5837, 0.4301], Current Cost = 60000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -0.7076, 0.6010]. Recommendation = [0.0, 0.7761, 0.5463], Current Cost = 61000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, 0.8777, 0.9561]. Recommendation = [0.0, 0.7761, 0.5463], Current Cost = 62000.00, Rho = -1.230
(iter 20) [0.0, 1.1992, 1.3459] = 455.4096, sampling [0.0, -1.1119, 1.6018]. Recommendation = [0.0, 0.7761, 0.5463], Current Cost = 63000.00, Rho = -1.230
