(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.3128, -0.0346]. Recommendation = [0.0, 0.0529, 0.0756], Current Cost = 5005.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.4743, 0.0892]. Recommendation = [0.0, 0.3128, -0.0346], Current Cost = 5006.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.3860, 0.1924]. Recommendation = [0.0, 0.4743, 0.0892], Current Cost = 5007.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.4866, 0.1675]. Recommendation = [0.0, 0.4743, 0.0892], Current Cost = 5008.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.6149, 0.1302]. Recommendation = [0.0, 0.4866, 0.1675], Current Cost = 5009.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.5980, 0.2850]. Recommendation = [0.0, 0.6149, 0.1302], Current Cost = 5010.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.5576, 0.3241]. Recommendation = [0.0, 0.5980, 0.2850], Current Cost = 5011.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.7317, 0.3741]. Recommendation = [0.0, 0.5980, 0.2850], Current Cost = 5012.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.7690, 0.2738]. Recommendation = [0.0, 0.7317, 0.3741], Current Cost = 5013.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.7760, 0.4166]. Recommendation = [0.0, 0.7317, 0.3741], Current Cost = 5014.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.7203, 0.5917]. Recommendation = [0.0, 0.7760, 0.4166], Current Cost = 5015.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.6433, 0.6168]. Recommendation = [0.0, 0.7203, 0.5917], Current Cost = 5016.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.5606, 0.5429]. Recommendation = [0.0, 0.7203, 0.5917], Current Cost = 5017.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.8502, 0.7192]. Recommendation = [0.0, 0.7203, 0.5917], Current Cost = 5018.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.9337, 0.6322]. Recommendation = [0.0, 0.8502, 0.7192], Current Cost = 5019.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.8246, 0.8918]. Recommendation = [0.0, 0.8502, 0.7192], Current Cost = 5020.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.6912, 0.9118]. Recommendation = [0.0, 0.8246, 0.8918], Current Cost = 5021.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 1.0164, 0.8812]. Recommendation = [0.0, 0.8246, 0.8918], Current Cost = 5022.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 0.9828, 0.9489]. Recommendation = [0.0, 1.0164, 0.8812], Current Cost = 5023.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 1.0291, 0.9350]. Recommendation = [0.0, 0.9828, 0.9489], Current Cost = 5024.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 1.0773, 0.9276]. Recommendation = [0.0, 1.0291, 0.9350], Current Cost = 5025.00, Rho = 0.177
(iter 10) [0.0, 0.0529, 0.0756] = 454.8736, sampling [1.0, 1.0632, 1.0292]. Recommendation = [0.0, 1.0773, 0.9276], Current Cost = 5026.00, Rho = 0.177
