(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.1115, -1.2146]. Recommendation = [0.0, 0.3204, -1.3296], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.2436, -0.7819]. Recommendation = [0.0, -0.1115, -1.2146], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6277, -0.5030]. Recommendation = [0.0, 0.2436, -0.7819], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.5057, -0.8145]. Recommendation = [0.0, 0.2436, -0.7819], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3154, -0.3695]. Recommendation = [0.0, 0.2436, -0.7819], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.5654, -0.0070]. Recommendation = [0.0, 0.3154, -0.3695], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.4969, -0.2104]. Recommendation = [0.0, 0.5654, -0.0070], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.9475, 0.0850]. Recommendation = [0.0, 0.5654, -0.0070], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6139, 0.4915]. Recommendation = [0.0, 0.5654, -0.0070], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3783, 0.2799]. Recommendation = [0.0, 0.6139, 0.4915], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6380, 0.1747]. Recommendation = [0.0, 0.6139, 0.4915], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.2651, -0.0468]. Recommendation = [0.0, 0.6139, 0.4915], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8473, 0.4168]. Recommendation = [0.0, 0.4515, 0.0154], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6664, 0.8122]. Recommendation = [0.0, 0.4515, 0.0154], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3868, 0.6847]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8727, 0.6518]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.4706, 0.4149]. Recommendation = [0.0, 0.7321, 0.6335], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3031, 0.1059]. Recommendation = [0.0, 0.7321, 0.6335], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.7321, 0.6335]. Recommendation = [0.0, 0.7321, 0.6335], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.7191, 0.3011]. Recommendation = [0.0, 0.4515, 0.0154], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.4329, -0.0151]. Recommendation = [0.0, 0.4515, 0.0154], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8833, 0.9450]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6916, 1.0475]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 1.0471, 0.5635]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.9737, 0.7685]. Recommendation = [0.0, 0.6804, 0.4535], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.1436, -0.2309]. Recommendation = [0.0, 0.8118, 0.7240], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.1279, 0.2373]. Recommendation = [0.0, 0.8118, 0.7240], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.2607, 0.4757]. Recommendation = [0.0, 0.8118, 0.7240], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.1461, 0.0694]. Recommendation = [0.0, 0.8118, 0.7240], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.0265, -0.4916]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.0383, -0.0930]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8010, 0.8528]. Recommendation = [0.0, 0.8118, 0.7240], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.1532, -0.4021]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3089, -0.2182]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.5407, 0.6984]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.7645, -0.0850]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.2250, 0.2220]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.5297, 0.9243]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8545, 0.5342]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.0987, -0.1997]. Recommendation = [0.0, 0.2236, 0.0992], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.0023, 0.0356]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.0081, -0.3473]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.0613, 0.3864]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.0841, 0.1809]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.0580, 0.7001]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.0413, 0.1662]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6804, 0.4535]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.1020, -0.7433]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 1.0834, 0.8515]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 1.0180, 1.2067]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8514, 1.1911]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.8388, 1.0409]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.2038, -0.5689]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.7843, 0.7457]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.3956, 1.1547]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, 0.6180, 0.6186]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.2189, 0.0197]. Recommendation = [0.0, 0.8209, 0.6924], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.3204, -1.3296] = 250.7070, sampling [1.0, -0.2528, -0.3201]. Recommendation = [0.0, -0.0387, -0.0039], Current Cost = 5062.00, Rho = 1.000
